Name,Reference,Description,Price
Pc Portable Gamer MSI Thin 15 B13U / I5-13420H / RTX 2050 4G / 8 Go / 512 Go SSD / Gris Cosmos,[B13UCX-2607XFR-SS],"Écran 15.6"" Full HD (1920 x 1080), IPS, 144 Hz - Processeur Intel Core i5-13420H 13e génération, (jusqu’à 4.6 GHz, 12 Mo de mémoire cache) - Mémoire 8 Go DDR4 - Disque SSD NVMe M.2 512 Go - Carte graphique NVIDIA GeForce RTX 2050, 4 Go de mémoire GDDR6 dédiée - Clavier rétroéclairé simple - Webcam HD 720p - 2x haut-parleurs audio 2 W compatibles Hi-Res Audio, traitement audio DTS - 1x entrée micro, 1x sortie casque - 3x USB 3.2 - 1x USB-C 3.2 - 1x HDMI - Gigabit Ethernet - Wi-Fi 6E - Bluetooth 5.3 - FreeDos - Couleur Gris Cosmos - Garantie 1 an ",
PC Portable Gamer Lenovo LOQ 15IAX9E / I5-12450HX / RTX 2050 4G / 16 Go DDR5 / 512 Go SSD / Gris,[83LK0075FG-2Y],"Écran 15.6"" Full HD (1920 x 1080), IPS antireflet, 144 Hz - Processeur Intel Core i5-12450HX 12e génération, (jusqu'à 4.4 GHz, 12 Mo de mémoire cache) - Mémoire 16 Go DDR5 - Disque SSD NVMe 512 Go - Carte graphique NVIDIA GeForce RTX 2050, 4 Go de mémoire GDDR6 dédiée - Lecteur de cartes 3 en 1 - 2x Haut-parleurs stéréo 2W, optimisés avec Nahimic Audio - Caméra HD 720p avec obturateur de confidentialité - Ethernet (RJ-45) - Wi-Fi 6 - Bluetooth 5.2 - 2x USB-A 3.2 - 1x USB-C 3.2 - 1x HDMI 2.1 - 1x prise combinée casque/microphone (3,5 mm) - Couleur Gris Luna - FreeDos - Garantie 2 ans
Avec Souris RVB Lenovo LOQ M100",
Pc Portable Gamer MSI Thin 15 B13U / I5-13420H / RTX 2050 4G / 8 Go / 512 Go SSD / Gris Cosmos Sac À Dos MSI Offert,[B13UCX-2607XFR],"Écran 15.6"" Full HD (1920 x 1080), IPS, 144 Hz - Processeur Intel Core i5-13420H 13e génération, (jusqu’à 4.6 GHz, 12 Mo de mémoire cache) - Mémoire 8 Go DDR4 - Disque SSD NVMe M.2 512 Go - Carte graphique NVIDIA GeForce RTX 2050, 4 Go de mémoire GDDR6 dédiée - Clavier rétroéclairé simple - Webcam HD 720p - 2x haut-parleurs audio 2 W compatibles Hi-Res Audio, traitement audio DTS - 1x entrée micro, 1x sortie casque - 3x USB 3.2 - 1x USB-C 3.2 - 1x HDMI - Gigabit Ethernet - Wi-Fi 6E - Bluetooth 5.3 - FreeDos - Couleur Gris Cosmos - Garantie 1 an + Sac à dos MSI G34 Offert",
PC Portable ASUS TUF Gaming A15 FA506NF / Ryzen 5 7535HS / RTX 2050 4G / 8 Go / Windows 11 / Noir,[FA506NF-HN005W],"Écran 15.6"" Full HD (1920 x 1080), antireflet - Taux de rafraîchissement: 144 Hz - Processeur AMD Ryzen 5 7535HS, (jusqu'à 4.55 GHz, 19 Mo de mémoire cache) - Mémoire 8 Go DDR5 - Disque SSD M.2 NVMe 512 Go - Carte graphique NVIDIA GeForce RTX 2050, 4 Go de mémoire GDDR6 dédiée - Wi-Fi 6 - Bluetooth 5.1 - Caméra HD 720P - Clavier Chiclet rétroéclairé 1 zone RVB - Système à 2 haut-parleurs - 1x port LAN RJ45 - 3x USB 3.2 - 1x USB-C 3.2 - 1x HDMI 2.0b - 1x prise audio combinée 3.5 mm - Windows 11 - Couleur Noir - Garantie 1 an",
PC Portable Gamer Lenovo LOQ 15IAX9E / I5-12450HX / RTX 2050 4G / 16 Go DDR5 / 512 Go SSD / Windows 11 / Gris,[83LK006SFG-2Y],"Écran 15.6"" Full HD (1920 x 1080), IPS antireflet, 144 Hz - Processeur Intel Core i5-12450HX 12e génération, (jusqu'à 4.4 GHz, 12 Mo de mémoire cache) - Mémoire 16 Go DDR5 - Disque SSD NVMe 512 Go - Carte graphique NVIDIA GeForce RTX 2050, 4 Go de mémoire GDDR6 dédiée - Lecteur de cartes 3 en 1 - 2x Haut-parleurs stéréo 2W, optimisés avec Nahimic Audio - Caméra HD 720p avec obturateur de confidentialité - Ethernet (RJ-45) - Wi-Fi 6 - Bluetooth 5.2 - 2x USB-A 3.2 - 1x USB-C 3.2 - 1x HDMI 2.1 - 1x prise combinée casque/microphone (3,5 mm) - Couleur Gris Luna - Windows 11 - Garantie 2 ans
Avec Souris RVB Lenovo LOQ M100 ",
PC Portable Gamer Lenovo LOQ 15IAX9E / I5-12450HX / RTX 2050 4G / 16 Go DDR5 / 512 Go SSD / Windows 11 Pro / Gris,[83LK0075FG-2Y-W11P],"Écran 15.6"" Full HD (1920 x 1080), IPS antireflet, 144 Hz - Processeur Intel Core i5-12450HX 12e génération, (jusqu'à 4.4 GHz, 12 Mo de mémoire cache) - Mémoire 16 Go DDR5 - Disque SSD NVMe 512 Go - Carte graphique NVIDIA GeForce RTX 2050, 4 Go de mémoire GDDR6 dédiée - Lecteur de cartes 3 en 1 - 2x Haut-parleurs stéréo 2W, optimisés avec Nahimic Audio - Caméra HD 720p avec obturateur de confidentialité - Ethernet (RJ-45) - Wi-Fi 6 - Bluetooth 5.2 - 2x USB-A 3.2 - 1x USB-C 3.2 - 1x HDMI 2.1 - 1x prise combinée casque/microphone (3,5 mm) - Couleur Gris Luna - Windows 11 Pro - Garantie 2 ans
Avec Souris RVB Lenovo LOQ M100 ",
Pc Portable Gamer MSI Thin 15 B13U / I5-13420H / RTX 2050 4G / 8 Go / 512 Go SSD / Windows 11 Pro / Gris Cosmos Sac À Dos MSI Offert,[B13UCX-2607XFR-W11P],"Écran 15.6"" Full HD (1920 x 1080), IPS, 144 Hz - Processeur Intel Core i5-13420H 13e génération, (jusqu’à 4.6 GHz, 12 Mo de mémoire cache) - Mémoire 8 Go DDR4 - Disque SSD NVMe M.2 512 Go - Carte graphique NVIDIA GeForce RTX 2050, 4 Go de mémoire GDDR6 dédiée - Clavier rétroéclairé simple - Webcam HD 720p - 2x haut-parleurs audio 2 W compatibles Hi-Res Audio, traitement audio DTS - 1x entrée micro, 1x sortie casque - 3x USB 3.2 - 1x USB-C 3.2 - 1x HDMI - Gigabit Ethernet - Wi-Fi 6E - Bluetooth 5.3 - Windows 11 Pro - Couleur Gris Cosmos - Garantie 1 an + Sac à dos MSI G34 Offert ",
Pc Portable Gamer HP Victus Gaming 15-Fa1007nk / I5-13420H / RTX 2050 4G / 8 Go / 512 Go SSD / Windows 11 / Noir,[9U175EA-SAC],"Écran 15.6 Full HD (1920 x 1080), IPS, micro-bord, antireflet - Processeur Intel Core i5-13420H 13e génération, (jusqu’à 4.6 GHz, 12 Mo de mémoire cache) - Mémoire 8 Go DDR4 - Disque SSD NVMe M.2 512 Go - Carte graphique NVIDIA GeForce RTX 2050, 4 Go de mémoire GDDR6 dédiée - Clavier argent mica, rétroéclairé - Caméra HP Wide Vision HD 720p - Microphones numériques à double entrée intégrée - Système audio par B&O, Doubles haut-parleurs, HP Audio Boost - 1x lecteur de cartes multimédias SD multiformat - 2x USB - 1x USB Type-C - 1x HDMI 2.1 - 1x port RJ-45 - 1x prise combinée casque/microphone - Wi-Fi 6 - Bluetooth 5.3 - Windows 11 - Couleur Noir - Garantie 1 an
+ Sac à dos HP Prelude Offert",
PC Portable Gamer HP Victus Gaming Laptop 15-Fa1006nk / I5-13420H / 8 Go / 512 Go SSD / Windows 11 / Bleu,[9U1B9EA],"Écran 15.6"" Full HD (1920 x 1080), IPS, micro-bord, antireflet - Processeur Intel Core i5-13420H 13e génération, (jusqu'à 4.6 GHz, 12 Mo de mémoire cache) - Mémoire 8 Go DDR4 - Disque SSD NVMe M.2 512 Go - Carte graphique NVIDIA GeForce RTX 2050, 4 Go de mémoire GDDR6 dédiée - Wi-Fi 6 - Bluetooth 5.3 - Clavier bleu performance, rétroéclairé, de grande taille avec pavé numérique - Caméra HP Wide Vision HD 720p - Système audio par B&O; Doubles haut-parleurs - 1x lecteur de cartes multimédias SD multiformat - 2x USB - 1x USB Type-C - 1x port HDMI 2.1 - 1x port RJ-45 - 1x prise secteur Smart Pin - 1x prise combinée casque/microphone - Windows 11 - Couleur Bleu performance - Garantie 1 an ",
Pc Portable Gamer HP Victus Gaming 15-Fa1007nk / I5-13420H / RTX 2050 4G / 8 Go / 512 Go SSD / Windows 11 / Noir,[9U175EA],"Écran 15.6 Full HD (1920 x 1080), IPS, micro-bord, antireflet - Processeur Intel Core i5-13420H 13e génération, (jusqu’à 4.6 GHz, 12 Mo de mémoire cache) - Mémoire 8 Go DDR4 - Disque SSD NVMe M.2 512 Go - Carte graphique NVIDIA GeForce RTX 2050, 4 Go de mémoire GDDR6 dédiée - Clavier argent mica, rétroéclairé - Caméra HP Wide Vision HD 720p - Microphones numériques à double entrée intégrée - Système audio par B&O, Doubles haut-parleurs, HP Audio Boost - 1x lecteur de cartes multimédias SD multiformat - 2x USB - 1x USB Type-C - 1x HDMI 2.1 - 1x port RJ-45 - 1x prise combinée casque/microphone - Wi-Fi 6 - Bluetooth 5.3 - Windows 11 - Couleur Noir - Garantie 1 an",
